x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
0,0,-1.2,-0.347702,-0.0328952,1.40417
0,0,-1.2,-0.341611,-0.0269448,1.40842
0,0,-1.2,-0.337868,-0.0233034,1.40793
0,0,-1.2,-0.335957,-0.0210854,1.40984
0,0,-1.2,-0.331484,-0.0191034,1.41297
0,0,-1.2,-0.325879,-0.0170771,1.41382
0,0,-1.2,-0.323477,-0.0120532,1.40861
0,0,-1.2,-0.321166,-0.00754691,1.40351
0,0,-1.2,-0.317988,-0.00492809,1.39792
0,0,-1.2,-0.31364,-0.00251182,1.39445
0,0,-1.2,-0.30811,0.00243874,1.39221
0,0,-1.2,-0.304756,0.0128998,1.38885
0,0,-1.2,-0.303693,0.0209871,1.39267
0,0,-1.2,-0.300069,0.0284473,1.39334
0,0,-1.2,-0.296895,0.0325496,1.3938
0,0,-1.2,-0.293605,0.0366282,1.39783
0,0,-1.2,-0.290168,0.0416245,1.40442
0,0,-1.2,-0.288261,0.0409221,1.40861
0,0,-1.2,-0.285791,0.0374076,1.41082
0,0,-1.2,-0.281249,0.0339705,1.40955
0,0,-1.2,-0.275344,0.0327362,1.4043
0,0,-1.2,-0.267493,0.0320818,1.39446
0,0,-1.2,-0.260937,0.0266951,1.38684
0,0,-1.2,-0.255383,0.020734,1.37732
0,0,-1.2,-0.254419,0.0169495,1.36827
0,0,-1.2,-0.257688,0.0120249,1.35301
0,0,-1.2,-0.264584,0.00991293,1.34071
0,0,-1.2,-0.272223,0.00196812,1.3329
0,0,-1.2,-0.278377,-0.00419456,1.3235
0,0,-1.2,-0.283124,-0.0102526,1.3119
0,0,-1.2,-0.285602,-0.0196712,1.3062
0,0,-1.2,-0.289255,-0.0285211,1.30097
0,0,-1.2,-0.288629,-0.0374776,1.29339
0,0,-1.2,-0.28395,-0.0449906,1.28441
0,0,-1.2,-0.27516,-0.0514561,1.27496
0,0,-1.2,-0.266975,-0.057245,1.26809
0,0,-1.2,-0.2535,-0.0611929,1.26521
0,0,-1.2,-0.243675,-0.0648931,1.26314
0,0,-1.2,-0.231354,-0.0678135,1.25843
0,0,-1.2,-0.221921,-0.0681364,1.25189
0,0,-1.2,-0.215252,-0.0652966,1.24002
0,0,-1.2,-0.211902,-0.0599345,1.22494
0,0,-1.2,-0.209052,-0.0544051,1.20767
0,0,-1.2,-0.205212,-0.0519835,1.19367
0,0,-1.2,-0.199394,-0.0524454,1.18315
0,0,-1.2,-0.196306,-0.0515106,1.17733
0,0,-1.2,-0.185724,-0.0531893,1.17265
0,0,-1.2,-0.175876,-0.0520998,1.16652
0,0,-1.2,-0.164771,-0.0485843,1.1559
0,0,-1.2,-0.158136,-0.0468729,1.14608
0,0,-1.2,-0.151566,-0.0455793,1.13443
0,0,-1.2,-0.14788,-0.0448194,1.12116
0,0,-1.2,-0.146252,-0.0415624,1.10745
0,0,-1.2,-0.147028,-0.0367766,1.09655
0,0,-1.2,-0.152592,-0.0317833,1.08861
0,0,-1.2,-0.161958,-0.0329988,1.08417
0,0,-1.2,-0.17332,-0.0353797,1.07987
0,0,-1.2,-0.179853,-0.0346696,1.07291
0,0,-1.2,-0.18447,-0.0331279,1.06463
0,0,-1.2,-0.198369,-0.0356718,1.05523
0,0,-1.2,-0.207529,-0.0352814,1.05005
0,0,-1.2,-0.215529,-0.0400592,1.04299
0,0,-1.2,-0.222018,-0.0463964,1.03448
0,0,-1.2,-0.230829,-0.0547819,1.02184
0,0,-1.2,-0.235156,-0.0617413,1.01662
0,0,-1.2,-0.246355,-0.0672604,1.01353
0,0,-1.2,-0.253403,-0.0701429,1.01231
0,0,-1.2,-0.255562,-0.0720138,1.01342
0,0,-1.2,-0.252517,-0.0724321,1.01599
0,0,-1.2,-0.247184,-0.0699998,1.01428
0,0,-1.2,-0.245167,-0.0699141,1.00918
0,0,-1.2,-0.240353,-0.0712711,1.00236
0,0,-1.2,-0.234407,-0.0695593,0.995783
0,0,-1.2,-0.226405,-0.0631432,0.987003
0,0,-1.2,-0.222226,-0.0604385,0.983789
0,0,-1.2,-0.216732,-0.0584368,0.978441
0,0,-1.2,-0.213654,-0.0555759,0.970519
0,0,-1.2,-0.211783,-0.0528035,0.962986
0,0,-1.2,-0.210732,-0.0520527,0.960251
0,0,-1.2,-0.210923,-0.0510014,0.955236
1.5,0,-1.2,-0.205786,-0.0500448,0.95113
1.49813,0.0749688,-1.2,-0.201025,-0.0508216,0.948289
1.49251,0.14975,-1.2,-0.200233,-0.048635,0.946445
1.48316,0.224157,-1.2,-0.202664,-0.0407789,0.943127
1.4701,0.298004,-1.2,-0.214394,-0.0278208,0.945165
1.45337,0.371106,-1.2,-0.222073,-0.0143968,0.945199
1.433,0.44328,-1.2,-0.23401,0.0123633,0.94142
1.40906,0.514347,-1.2,-0.245113,0.0476614,0.934794
1.38159,0.584127,-1.2,-0.25428,0.114905,0.925716
1.35067,0.652448,-1.2,-0.24647,0.216886,0.916923
1.31637,0.719138,-1.2,-0.216124,0.358876,0.916313
1.27879,0.784031,-1.2,-0.168929,0.502732,0.917293
1.238,0.846964,-1.2,-0.0984112,0.66155,0.918761
1.19413,0.90778,-1.2,-0.0189608,0.805011,0.923898
1.14726,0.966326,-1.2,0.0800183,0.953817,0.932321
1.09753,1.02246,-1.2,0.174005,1.06691,0.942245
1.04506,1.07603,-1.2,0.300792,1.19141,0.957875
0.989975,1.12692,-1.2,0.402333,1.27273,0.970918
0.932415,1.17499,-1.2,0.51905,1.34228,0.986235
0.872525,1.22012,-1.2,0.622348,1.39544,0.996382
0.810453,1.26221,-1.2,0.735003,1.43412,1.00512
0.746356,1.30113,-1.2,0.839075,1.45015,1.01089
0.680394,1.33681,-1.2,0.950578,1.44657,1.01577
0.612731,1.36915,-1.2,1.04925,1.4336,1.02246
0.543537,1.39806,-1.2,1.1337,1.4077,1.03214
0.472984,1.42348,-1.2,1.21607,1.37253,1.04581
0.401248,1.44534,-1.2,1.28514,1.32877,1.05615
0.32851,1.46359,-1.2,1.33561,1.27984,1.06137
0.254951,1.47817,-1.2,1.37627,1.22812,1.07541
0.180754,1.48907,-1.2,1.41519,1.14664,1.09564
0.106106,1.49624,-1.2,1.43817,1.07212,1.1066
0.0311921,1.49968,-1.2,1.45907,0.972256,1.11552
-0.0437993,1.49936,-1.2,1.46923,0.896645,1.12125
-0.118681,1.4953,-1.2,1.47915,0.797592,1.13445
-0.193267,1.4875,-1.2,1.48269,0.696936,1.14371
-0.267369,1.47598,-1.2,1.4841,0.602459,1.15149
-0.340803,1.46077,-1.2,1.48581,0.508543,1.15944
-0.413385,1.44191,-1.2,1.48834,0.408865,1.17011
-0.484934,1.41945,-1.2,1.49494,0.329106,1.18324
-0.555271,1.39344,-1.2,1.49757,0.232064,1.19593
-0.62422,1.36395,-1.2,1.49774,0.15798,1.20564
-0.691609,1.33104,-1.2,1.49732,0.0648941,1.21802
-0.757269,1.29481,-1.2,1.49735,-0.00794586,1.22584
-0.821037,1.25535,-1.2,1.49542,-0.0852959,1.2421
-0.882752,1.21274,-1.2,1.49339,-0.157212,1.25373
-0.942261,1.16711,-1.2,1.48683,-0.23569,1.26653
-0.999414,1.11856,-1.2,1.47593,-0.307066,1.27777
-1.05407,1.06721,-1.2,1.46231,-0.374716,1.28731
-1.10609,1.01319,-1.2,1.45073,-0.446491,1.2985
-1.15535,0.956647,-1.2,1.43537,-0.518125,1.30834
-1.20172,0.897708,-1.2,1.41956,-0.584346,1.31568
-1.24508,0.836526,-1.2,1.40297,-0.650506,1.32104
-1.28533,0.773252,-1.2,1.38225,-0.720519,1.3232
-1.32237,0.708046,-1.2,1.35598,-0.778924,1.32663
-1.35611,0.64107,-1.2,1.31485,-0.84903,1.32646
-1.38645,0.572492,-1.2,1.2764,-0.899495,1.32706
-1.41333,0.502482,-1.2,1.22037,-0.958145,1.32955
-1.43668,0.431217,-1.2,1.1716,-1.00368,1.3264
-1.45644,0.358874,-1.2,1.10501,-1.05487,1.31921
-1.47255,0.285634,-1.2,1.04936,-1.09086,1.31421
-1.48499,0.21168,-1.2,0.982824,-1.13518,1.30817
-1.49371,0.137197,-1.2,0.922199,-1.18125,1.30226
-1.4987,0.0623708,-1.2,0.851861,-1.22503,1.29676
-1.49995,-0.012611,-1.2,0.782853,-1.26383,1.29399
-1.49744,-0.0875613,-1.2,0.712333,-1.30816,1.28964
-1.49119,-0.162293,-1.2,0.653144,-1.34591,1.28527
-1.48122,-0.236618,-1.2,0.572058,-1.38981,1.27976
-1.46754,-0.310353,-1.2,0.514984,-1.41809,1.27395
-1.4502,-0.383312,-1.2,0.438642,-1.45284,1.27098
-1.42923,-0.455312,-1.2,0.378956,-1.47598,1.27727
-1.40469,-0.526175,-1.2,0.308839,-1.49846,1.28905
-1.37663,-0.595722,-1.2,0.243429,-1.51602,1.29869
-1.34514,-0.663781,-1.2,0.163998,-1.52487,1.3077
-1.31028,-0.73018,-1.2,0.091812,-1.53222,1.31131
-1.27215,-0.794754,-1.2,0.0145714,-1.53644,1.3134
-1.23084,-0.857342,-1.2,-0.0535942,-1.53672,1.31636
-1.18645,-0.917787,-1.2,-0.120607,-1.53413,1.32111
-1.1391,-0.975938,-1.2,-0.183193,-1.52648,1.34085
-1.0889,-1.03165,-1.2,-0.246411,-1.5147,1.35425
-1.03598,-1.08478,-1.2,-0.313779,-1.49581,1.35926
-0.980465,-1.1352,-1.2,-0.370516,-1.47475,1.35673
-0.922503,-1.18279,-1.2,-0.441995,-1.4428,1.3535
-0.862236,-1.22742,-1.2,-0.509183,-1.40822,1.3603
-0.799813,-1.26898,-1.2,-0.581392,-1.36058,1.36613
-0.735391,-1.30736,-1.2,-0.647443,-1.31286,1.36951
-0.669131,-1.34248,-1.2,-0.719977,-1.26228,1.37319
-0.601198,-1.37425,-1.2,-0.786935,-1.21983,1.3753
-0.531764,-1.40258,-1.2,-0.871425,-1.16179,1.37141
-0.460999,-1.4274,-1.2,-0.934396,-1.11333,1.36832
